Timestamp,Department,Course Number,Semester,DCID (EX: DC1233 or DCF2456),Assignment (Early or Late),"Assignment Type
(This is labeled in the data assignment spreadsheet).",CXT1,CXT1 Comments,CXT2a,CXT2a Comments,CXT2b,CXT2b Comments,CXT3,CXT3 Comments,CXT4a,CXT4a Comments,CXT4b,CXT 4b Comments,Overall Comments/Concerns,Coder,"Number of Pages
(Type the number of pages in the artifact. For instance, if an artifact has 12 pages, type 12.)"
5/14/2026 19:36:51,Psychology,85221,F21,DC620173,Late,Final Paper,3.5,"clearly identifies the subject, hypothesis, and frames it around specific how and why questions about decision-making and development",2,"mixed sources and might not all be very good sources, I'm not too sure",2.5,"theories are used along with interview findings, good clarity",NA,"There is some engagement with generational differences, but I don't think the analysis are connected that well ",2,"3 theoretical traditions are identified and described, but not used effectively",NA,"Contains personal beliefs about parenting, grounded in the interview analysis and theoretical frameworks",,Lulu,
5/14/2026 21:44:46,Psychology,85221,F21,DC620173,Late,Final Paper,3.5,clearly state the previous studies and research questions,3,An appropriate amount of source materials,2.5,have information but do not support all major statements,NA,N/A,2,identified,NA,N/A,,Grace,
5/15/2026 5:00:43,Psychology,85221,F21,DC620173,Late,Final Paper,3,"The author well describes who, what, where, when, why, and how as the paper well describes the background of the interviewees and the following outcomes. ",2,"The variability of the interviewees backgrounds is not diverse. But throughout the paper, the author does mentions and applies official resources. ",2,"When explaining the claims the author made, the author frequently uses the official resources but not constantly. ",NA,,2,"The overall idea of the paper developed over time by adding on different new information. However, it feels like the author was revolving around the similar concept too much. ",NA,,,Noah,
5/15/2026 16:06:26,Psychology,85221,F21,DC240712,Late,Final Paper,1.929,Stated the factors,2,,2.571,,,,2.286,,,,,Reconciled Code,6
5/19/2026 21:00:22,LCAL,82273,F24,DC26027,Late,Final Paper,2,"The paper talks regarding the background info about high school girl Japan and China uniform with the valid facts following behind them. However, there isn't that much depth to it. ",2,"The paper has 3 anime as its evidence and each anime doesn't overlap when it comes to ideas but explains different points regarding the JK culture. However, since these are anime not official sources, I wanted to give 2 rather than 3. ",3.5,The paper utilizes the anime's as evidence very well as the paper explains each in detail in how they shaped different aspects of the JK culture. Each anime doesn't overlap but supports each other points. ,3,The paper starts talking about the idea since 19th century with valid reasonings. ,2.5,"The idea developed very well over time as each anime talks about different aspects about JK not overlapping. However, it was hard to connect all of these ideas. ",2,"The student does talk about the student's own way of thinking but it is only shown at the end of the paper, making it hard to connect with multiple ideas shown in the paper. ",,Noah,19
5/18/2026 12:13:33,Psychology,85221,F21,DC373098,Late,Final Paper,2.9,,2.8,,3,,,,3,,,,,Reconciled Code,8
5/18/2026 12:17:34,Psychology,85221,F21,DC280995,Late,Final Paper,2,,1.625,,2,,,,2,,,,,Reconciled Code,5
5/18/2026 12:30:33,Psychology,85221,F21,DC109963,Late,Final Paper,2.5,,1.714,,1.714,,NA,,2,,NA,,,Reconciled Code,10
5/19/2026 21:39:28,LCAL,82273,F24,DC26027,Late,Final Paper,3,The student clearly states all the factors in the rubric and uses source materials to support them.,2.5,The student used adequate and meaningful evidence throughout the whole article.,2.5,The source materials are used to support most but not all major points.,3,The student identifies the subject of study and also explains how it relates to the Japanese social phenomenon.,2.5,"The student identifies a tradition, but how this tradition is connected to the way of thinking is not explained fully.",1.5,"The student did not show many personal thoughts in this article, but shows more on the reflection of this film.",,Grace,19
5/21/2026 15:20:30,LCAL,82273,F24,DC26027,Early,Short Paper,2,,2,,3,,2,,2,,1.75,,,Reconciled Code,6
5/21/2026 15:28:53,LCAL,82273,F24,DC26091,Early,Short Paper,2,,2,,3,,2,,2,,1,,,Reconciled Code,8
