Timestamp,Course Number,Semester,DCID (EX: DC1233 or DCF2456),Assignment (Early or Late),"Assignment Type
(This is labeled in the data assignment spreadsheet).",CXT1,CXT1 Comments,CXT2a,CXT2a Comments,CXT2b,CXT2b Comments,CXT3,CXT3 Comments,CXT4a,CXT4a Comments,CXT4b,CXT 4b Comments,Overall Comments/Concerns,Coder,"Number of Pages
(Type the number of pages in the artifact. For instance, if an artifact has 12 pages, type 12.)"
5/13/2026 14:04,85221,F21,DC109963,Late,Final Paper,2.5,"Clear topic and identifies factors affecting development (family structure, abuse, culture, finances). Uses “how/why” framing. Mostly descriptive application of theories rather than deeply reframing the issue or critically justifying approach.

More explicit discussion of why this issue should be examined through certain frameworks, plus clearer analysis of limitations/strengths of the chosen approach, would move this into the 3 range.",2.5,"Uses relevant interviews and developmental theories. Evidence is appropriate but limited in rigor and scope. Heavy reliance on anecdotal evidence and very few scholarly sources/research studies.

Incorporating more peer-reviewed research, historical/contextual scholarship, or a broader evidence base beyond personal interviews would strengthen rigor and raise the score. Note - for this assignment, this may be a more common score just due to the nature of the assignment. That is okay and is something to take into account in your analysis that the scores may be limited by the assignment instructions themselves, not necessarily the student's ability.",2.5,"Evidence is connected to main points and interpreted through Vygotsky/Erikson. Some claims are speculative or generalized from small sample size. Interpretation supports some major points more strongly than others.

Stronger grounding for conclusions, clearer explanation of how evidence supports claims, and more consistent analysis across all major points would push this higher.",NA,,2,"Identifies multiple theories/traditions and briefly compares them. Does not analyze how these traditions developed historically or examine broader intellectual/social dynamics shaping them.

More discussion of how these theories emerged, evolved, or responded to historical/social contexts, and more critical examination of the traditions themselves—would move this toward a 3.",NA,,,Chelsea Leverett-Ptak,
5/14/2026 18:10,85221,F21,DC109963,Late,Final Paper,3,"mention past approaches, factors of the study, but maybe not comprehensive enough to get a 4",2.5,show gestures to source materials but does not have most appropriate quantity to get 3,1,does not support the main points (not sure),NA,"mention the past trend in introduction, but not quite explain it",3,connects to how the tradition way of thinking has developed,NA,connect to the author's own experience ,,Grace,
5/14/2026 18:14,85221,F21,DC109963,Late,Final Paper,3,Clearly frames the topic around how family structure affects cognitive and social development,2.5,"Uses relevant sources for the assignment, including interviews, census data, and developmental theory",2,"The student connects interview evidence to developmental theories, overall relevant interpretations",NA,,2.5,There's developmental theories and compares them through development over time,NA,Reflects on their own beliefs about parenting and development and connects them to Erikson and Vygotsky.,,Lulu,
5/14/2026 21:25,85221,F21,DC109963,Late,Final Paper,2.5,"The student provided contexts about the interviewee's experiences, such as Yiqing lacking opportunity to socialize during her childhood years, the absence of spouse, etc. However, I have to infer a lot about how these narratives shape how the problem should be studied. For instance, when the student discussed about one parent having to fill in for the other, I don't see much connection to the theory. ",1.5,"The student chose to only interview their family members. I believe it would be better for the students to also include other sources that are less connected, or at least justify why the interviewees' connection with them would not affect the interpretation of evidence.",2,"They definitely described the context. However, I don't understand the link between the context, the student's interpretation, and how it informs Piaget's or Vygotsky's theory. For instance, when the student discussed how older twin brother cannot provide guided participation, I don't see why an older twin cannot do so.",NA,,1.5,"I don't see any info about how Piaget's, Vygotsky's, or sociocultural cognitive theory were developed.  They did identify the theories, but maybe those were not traditions?",NA,Should be N/A,,Peem,
5/14/2026 23:27,85221,F21,DC109963,Late,Final Paper,2.5,"I think there was justifications for why the participants in the study was examined through lens of Vygotsky's sociocultural approach and Erikson's psychosocial theory. Additionally, the student described multiple factors that could have influenced the answers of the participants in the study, such as an abusive step-parent, lack of presence from the biological father, the historical environment in which the student's mother grew up in, etc. This overall connected these factors to the body of the study when looking at social and cognitive development in relation to the effects of family composition. The student then connected it to the limitations of Vygotsky's sociocultural approach and Erikson's psychosocial theory relating to interpreting the effects of family composition to social and cognitive development. However, there seems to be a lack of scholarly material used to support these factors' relationship to one another, such as explaining the application of ""nature vs nurture"" to the results of the study. However, I'm not quite sure if using concepts and theories related to the topic of a child's social and cognitive development is considered an use of scholarly source material. Therefore, I'm rating this as a 2.5 CXT1. ",2,"There is really only one real source used in this study, which is the study from the US Census Bureau about the drop in the percentage of children living with two parents since 1968. This source was used to motivate the study of family composition and its effects of social and cognitive development. This was the only material not related to the theories of child development, such as Vygotsky's sociocultural approach and Erikson's psychosocial theory. However, it is mostly appropriate and relevant to justifying the purpose of the study. ",0.5,There was minimal information provided from the Census source material. But the source material doesn't really support any of the major points discussed about the results of the observations. It was mostly used to motivate the study rather than be applied to the interpretations of the results. ,NA,,0.5,"I didn't really find anything where the student talked about approaches to studying social and cognitive development in the field of child development changing over time. I also didn't really notice any implicit mention of a tradition that would make sense in the context of this study. Maybe the idea of ""nature vs. nurture"" could be considered a tradition, but then again there was an explanation on how this tradition as changed over time. ",NA,NA,The rating selection for CXT4b doesn't include a NA option,Jerry,
5/14/2026 23:31,85221,F21,DC109963,Late,Final Paper,3,The writer interprets the topic very well as each interview questions were answered while also supporting the writer's claim with variety of scholarly evidences. The ideas were not mentioned a few times but several times throughout the text. ,1,"While the student did have 3 people to interview, I believe this number is too small to make a clear point. Additionally, since 2 people were from her family, it may also lack variability. ",3,The writer uses the evidence pretty well as the writer explains throughly and reasons why some evidence might have some flaws. The writer doesn't stop here and adds extra evidence to cover up possible gaps. ,NA,,3,"With the evidence and its gap, the author brings in additional evidence to fill in these gaps and while doing so, I can see the idea being developed over time. The author explains throughly as the paper explains what factors causes which to happen thus the result. ",NA,,,Noah,
5/15/2026 2:46,85221,F21,DC109963,Late,Final Paper,1,,0,,1,We are given mentions to existing theories by Vygotsky and Erikson but as first-time readers we have no idea what these theories are and how these existing evidence are being used to strengthen the author's work.,NA,Mentions Mao's China as part of mother's context growing up but I think this is an area that can be developed more instead of being brushed a few times,2,There are a few mentions of how specific instances in the subject's lives may have influenced their thinking. ,NA,There were some mentions on the author's thinking and the topic of the paper but I still think that the analysis may have been a little underdeveloped and the connections could have been more clearly articulated.,I think overall it is a good starting point but there are so many parts which have not been fully developed to show a strong grasp of contextual thinking,Henry,
5/18/2026 12:30,85221,F21,DC109963,Late,Final Paper,2.5,,2,,2,,,,2,,,,,Reconciled Code,10
5/14/2026 18:32,85221,F21,DC240712,Late,Final Paper,0.5,show new approaches but does not identify past approaches and limitations,1,not appropriate quantity,1.5,does not connect to all major points but provide some infomation,NA,does not explain the relation to past,2,identity a tradition in the article,NA,clear explanations and connect the tradition to the authors' own way of thinking,,Grace,
5/14/2026 18:47,85221,F21,DC240712,Late,Final Paper,3,"Clearly frames the question with who (family members across generations), what (child rearing practices), and why (cognitive and social development)",2.5,"Uses multiple interviews and several relevant developmental theories/scholarly sources (Piaget, Vygotsky, Core Knowledge), could have more sources",3,Evidence from interviews is consistently tied back to theories and major claims.,NA,"Discusses generational differences and older family perspectives, but analysis beyond the past 20 years is somewhat limited.",2,"identifies specific theoretical traditions and connects family practices to them, but didn't have how the traditions developed",NA,Reflects on the writer’s own beliefs to developmental theories and family influences with detail,,Lulu,
5/14/2026 23:58,85221,F21,DC240712,Late,Final Paper,2,"Do author does explain who, when, what, why, where, how regarding the topic but doesn't go deeper into the detail. ",2,"While the evidence does fit well for the context of the problem, there are too little quantity and too little variability. ",3,The evidence acts as the base for the claim of the paper. Meaning the evidence supports major part of the paper. ,NA,,2,The author does identify some traditions but doesn't get deeper into each discoveries. ,NA,,,Noah,
5/15/2026 1:05,85221,F21,DC240712,Late,Final Paper,1,"The student states that in order to study social and cognitive child development, it is crucial to examine child rearing practices. However, the student doesn't explain his reasoning for why they want to look at child rearing practices over other factors. Additionally, the student didn't frame the study of child rearing practices around questions of who, what, where, when, why, or how. Overall, there was no statement regarding what factors will influence the examination of the connection of child rearing practices with social and cognitive child development in the study and wasn't framed around questions of who, what, where, when, why, or how.",2,The student uses three different source materials that were all relevant to the study of social and cognitive child development. They were also all appropriate to the examinations of the answers from the interviewees as the source materials were used to motivate and connect information from the source materials to the beliefs of the interviewees on social and cognitive child development. ,1.5,"In relation to the comments on CXT2a, the student provided adequate information to motivate the connections of interviewees' answers and past theories related to child development like Jean Piaget’s theory, Lev Vygotsky’s sociocultural theory, and Core-knowledge theory. However, I felt like it didn't support any major points regarding how child rearing practices affects social and cognitive child development. The source material were mostly used to relate concepts from the material to the beliefs of the interviewees and not why child rearing techniques adopted by their family played a significant role in their child development. ",NA,,3,"The student recalls an experience when they were young, they thought that a bin was a hat. However, over time, they were able to distinguish the differences between a hat and a bin, such as comfort level and fit, so they no longer think a bin is a hat. This shows a way of thinking that was being developed and changed over time on a tradition growing up. ",NA,NA,,Jerry,
5/15/2026 8:38,85221,F21,DC240712,Late,Final Paper,2.5,I don't think there was as explicit of a thesis that was defined by the author in the beginning but towards the end there is a stronger claim on particular methods that could be taken based on their parents and grandparent's methods.,2.5,There are not that many sources provided but I think the author does a good job utilizing the few that they do provide,4,It was very good how the author introduced the different theories that they were talking about. ,NA,The student talked about Vygotsky's theory from 1978 and through mentioning their grandparent's view managed to incorporate how attitudes were different over time.,3,"The student did a good job comparing the differences in how their parents think and how their grandparent thinks, highlighting how ways of thinking were developed over time.",NA,In the final section the student did a good job talking about their own thinking in relation to the topic and how the stances his parents and grandparent took could potentially affect their thinking in the future.,I think this is a pretty strong paper that demonstrates a high level of contextual thinking. I was wondering why the raw interview data was not available but I don't think it was too big of a problem considering it was summarized throughout the paper when needed.,Henry,
5/15/2026 13:18,85221,F21,DC240712,Late,Final Paper,2.5,"Clearly frames the topic around child rearing practices and their impact on cognitive/social development across generations. Identifies major influencing factors. Consistently connects interview material back to developmental theories. Still somewhat focused on applying theories rather than critically reframing the issue or examining limitations in approach.
More critical discussion of why certain frameworks are the best lens for studying development, or acknowledgment of limitations/biases in the interview approach, would move this toward a 4.",2.5,"Uses multiple interviews across generations and incorporates scholarly theories with citations. Evidence is relevant and reasonably rigorous for the assignment.
Adding more peer-reviewed developmental psychology research or broader scholarly evidence beyond family interviews would strengthen rigor and depth.
Again, this might be a factor of the assignment itself, rather than the student's ability.",3,"Strong integration of interview evidence with developmental theories. Examples are explained clearly and tied directly to major points about learning, personality, and parenting styles. Interpretation is usually thoughtful and consistent rather than just descriptive. Some claims could still be analyzed more critically instead of accepted at face value.
More critical analysis of contradictions, limitations, or alternative interpretations of the interview evidence would likely raise this to a 4.",NA,,2,"Engages multiple developmental traditions and compares how different theories explain learning and personality. Shows some awareness of differing assumptions between theorists and generations. However, the paper mainly applies theories rather than examining how those traditions developed historically or intellectually over time.
More discussion of the historical/intellectual development of these theories and the social contexts shaping them would move this into the 3 range.",NA,,,Chelsea Leverett-Ptak,
5/15/2026 14:19,85221,F21,DC240712,Late,Final Paper,2,"The students mentioned why it is important to reflect on child rearing practices since they affect child development. While I see some descriptions about their family, I do not see much evidence that the student thought through how the context of their family should affect the problem space. ",1.5,"The student did not provide a transcript of the interview or any summary. Therefore, I am not sure how the student chose to include or not include certain parts of the interview. ",2,"The information about the context and the source materials are detailed, but I don't see the link between the major points made and the evidence provided. For instance, the student used their mom's interaction to support Vygotsky's view of social interactions > child development. However, there's not much description of how those activites lead to the growth over time.",NA,,2,,NA,,,Peem,
5/15/2026 16:06,85221,F21,DC240712,Late,Final Paper,2,Stated the factors,2,,2,,,,2,,,,,Reconciled Code,6
5/27/2026 4:53,84389,S25,DC243570,Late,Final Paper,2,The paper explains very well at the beginning regarding the fundamental questions of Cosa Nostra. But it doesn't last very long. (Paragraphs after just talks about what they did rather than the fundamental questions),2.5,Evidences used are good in quantity and rigor as they were mostly from the trusted sources. I just gave 2.5 because I don't think class sources should be considered as a reliable source. ,3,Each points are built off from the sources. (Many indications of where each lines are from what sources),1,"The paper was talking in the settings of 1990s. In the paper, I saw almost no informations from 1970s or earlier. ",2.5,"While the story itself did not develop over time, the idea of the paper developed over time by talking about different perspectives. (Different ways of analyzing)",0,"The student does not talk about how the student felt. Hence, there were no connections regarding the student's idea and the paper. ",,Noah,13
5/30/2026 14:23,84389,S25,DC26026,Late,Final Paper,2,did not mention why,3,The student gives a appropriate quantity and quality of resources.,2.5,Resources are used to support main arguments with clear interpretations followed.,3,"The phenomenon is linked to the recent past, while explanations are also given.",2,"Instead of ways of thinking, actions that government taken is stated and analyzed in the article (since the class the about terrorism, maybe also count as a way of thinking?)",1.5,The student's own way of thinking is lacked.,,Grace,11
5/30/2026 21:29,84389,S25,DC26026,Late,Final Paper,2.5,"clearly states what the paper will be looking at, lacks a bit on the how and why?",3,"have a lot of variety and quantity for sources, strong choices of evidences",2.5,sources are cited and used consistently and mostly tied back to the main points made with analysis,3,it go through like a time line with specific historical contexts and connects them back to the points made,2,did mention few theoretical traditions but not explanations / analysis ,1,only brief mention and almost not much personal reflections,,Lulu,11
6/2/2026 11:57,84389,S25,DC26026,Late,Final Paper,2.5,,3,,2.5,,3,,2,,1.5,,artifact did not actually need to be reconciled,Reconciled Code,11
5/19/2026 13:24,82273,F24,DC26027,Early,Short Paper,2,Include most of the factors listed in the rubric and ,3,The student uses appropriate amount of sources from the movie assigned to their study.,3,The student provides information about the sources to explain most major points.,2.5,The student links this article to hierarchy and conformity of Japanese society. ,2.5,identified the tradition and also expand the topic of how this developed over time,2,The student does not connect their way of thinking and tradition in the article.,,Grace,6
5/19/2026 20:11,82273,F24,DC26027,Early,Short Paper,2,"The paper does talk about the background info and the following effects, it does not have any scholarly evidence to support them. ",1.5,"The paper does uses the correct fit evidence since it was given but these informations gave from only a single film, which lacks when it comes to quantity. ",3,The evidence covers majority of the points as the informations are built off from the ideas given by the film. ,1,The paper doesn't explain in detail regarding the past but only talks about it briefly at the beginning when talking about the image of women in different cultures. ,1.5,The concept of tampopo and Goro seemed to be develop over time but the subject was changed around the middle. ,1.5,"The student does talk about their opinions like for Tampopo and Goro but except for these two, there were not that many points where the student talked about the opinion. ",,Noah,6
5/21/2026 15:20,82273,F24,DC26027,Early,Short Paper,2,,2,,3,,2,,2,,2,,,Reconciled Code,6
5/19/2026 21:00,82273,F24,DC26027,Late,Final Paper,2,"The paper talks regarding the background info about high school girl Japan and China uniform with the valid facts following behind them. However, there isn't that much depth to it. ",2,"The paper has 3 anime as its evidence and each anime doesn't overlap when it comes to ideas but explains different points regarding the JK culture. However, since these are anime not official sources, I wanted to give 2 rather than 3. ",3.5,The paper utilizes the anime's as evidence very well as the paper explains each in detail in how they shaped different aspects of the JK culture. Each anime doesn't overlap but supports each other points. ,3,The paper starts talking about the idea since 19th century with valid reasonings. ,2.5,"The idea developed very well over time as each anime talks about different aspects about JK not overlapping. However, it was hard to connect all of these ideas. ",2,"The student does talk about the student's own way of thinking but it is only shown at the end of the paper, making it hard to connect with multiple ideas shown in the paper. ",,Noah,19
5/19/2026 21:39,82273,F24,DC26027,Late,Final Paper,3,The student clearly states all the factors in the rubric and uses source materials to support them.,2.5,The student used adequate and meaningful evidence throughout the whole article.,2.5,The source materials are used to support most but not all major points.,3,The student identifies the subject of study and also explains how it relates to the Japanese social phenomenon.,2.5,"The student identifies a tradition, but how this tradition is connected to the way of thinking is not explained fully.",1.5,"The student did not show many personal thoughts in this article, but shows more on the reflection of this film.",,Grace,19
5/27/2026 4:27,84389,S25,DC26052,Late,Final Paper,2,"In the paragraph titled as background, the paper explains in detail regarding the fundamental questions. ",2.5,Evidences the student chose for the paper are appropriate but are hard to see as they are not directly mentioned in the paper. ,3,"As the points being talked about in the paper are built off from the evidences chosen, it only has minor omissions. ",1,The past is briefly mentioned at the beginning of the paper and does not connect to the main idea of the paper. ,3,The growth in ideas is well shown as each are backed up with the sources. ,1,The student barely talks about the student's own thought and connecting it to the theme of the paper. The student does briefly talks about what he thinks but these ideas are not related to the main points. ,,Noah,13
